State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,AMRAWATI - MH27,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,64.0,174.0,10.0,78.0,124.0,0.0,2.0,148.0,120.0,172.0
Maharashtra,AMRAWATI - MH27,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
Maharashtra,AMRAWATI - MH27,E2W,HERO MOTOCORP LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,10.0,12.0,10.0,18.0,34.0,26.0,10.0,20.0
Maharashtra,AMRAWATI - MH27,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0
Maharashtra,AMRAWATI - MH27,E2W,JIANGSU XINRI (IMPORTER: ECO FUEL SYSTEMS LTD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Maharashtra,AMRAWATI - MH27,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0
Maharashtra,AMRAWATI - MH27,E2W,KYTE ENERGY PVT. LTD.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maharashtra,AMRAWATI - MH27,E2W,LECTRIX E VEHICLES PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
Maharashtra,AMRAWATI - MH27,E2W,ODYSSE ELECTRIC VEHICLES PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Maharashtra,AMRAWATI - MH27,E2W,OKINAWA AUTOTECH PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maharashtra,AMRAWATI - MH27,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,54.0,324.0,298.0,216.0,292.0,120.0,244.0,156.0,238.0,104.0
Maharashtra,AMRAWATI - MH27,E2W,REVOLT INTELLICORP PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,18.0,4.0,4.0,4.0
Maharashtra,AMRAWATI - MH27,E2W,TVS MOTOR COMPANY LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,172.0,290.0,136.0,220.0,214.0,120.0,232.0,202.0,280.0,244.0
Maharashtra,AMRAWATI - MH27,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,16.0,2.0,12.0,0.0,4.0,4.0,6.0,6.0,6.0
Maharashtra,AMRAWATI - MH27,E2W,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
Maharashtra,BARAMATI - MH42,E2W,ATHER ENERGY LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,26.0,18.0,44.0,42.0,26.0,50.0,40.0,34.0,74.0,66.0
Maharashtra,BARAMATI - MH42,E2W,BAJAJ AUTO LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,206.0,398.0,236.0,240.0,250.0,244.0,144.0,190.0,320.0,198.0
Maharashtra,BARAMATI - MH42,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Maharashtra,BARAMATI - MH42,E2W,BGAUSS AUTO PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,16.0,12.0,6.0,34.0,18.0,24.0,14.0,54.0,14.0
Maharashtra,BARAMATI - MH42,E2W,ELEGO MOTORS PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Maharashtra,BARAMATI - MH42,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,20.0,8.0,2.0,12.0,2.0,4.0,8.0,10.0
Maharashtra,BARAMATI - MH42,E2W,HERO MOTOCORP LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,34.0,26.0,38.0,24.0,32.0,20.0,20.0,54.0,18.0
Maharashtra,BARAMATI - MH42,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,22.0,8.0,12.0,6.0,2.0,2.0,0.0
Maharashtra,BARAMATI - MH42,E2W,KAINING (HONGKONG) (IMPORTER: COMPTECH MOTOCORP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0
Maharashtra,BARAMATI - MH42,E2W,KAINING (HONGKONG) (IMPORTER: SEEKA E MOTORS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maharashtra,BARAMATI - MH42,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,12.0,8.0,6.0,8.0,10.0,12.0,4.0,34.0,2.0
Maharashtra,BARAMATI - MH42,E2W,KLB KOMAKI PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Maharashtra,BARAMATI - MH42,E2W,OBEN ELECTRIC VEHICLES PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Maharashtra,BARAMATI - MH42,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,36.0,50.0,80.0,52.0,42.0,14.0,40.0,34.0,52.0,14.0
Maharashtra,BARAMATI - MH42,E2W,REVOLT INTELLICORP PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,22.0,8.0,16.0,10.0,8.0,4.0,4.0,14.0,2.0
Maharashtra,BARAMATI - MH42,E2W,RIVER MOBILITY PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0
Maharashtra,BARAMATI - MH42,E2W,SIMPLEENERGY PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Maharashtra,BARAMATI - MH42,E2W,TVS MOTOR COMPANY LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,128.0,336.0,124.0,232.0,230.0,136.0,216.0,172.0,250.0,234.0
Maharashtra,BARAMATI - MH42,E2W,VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Maharashtra,BARAMATI - MH42,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Maharashtra,BARAMATI - MH42,E2W,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Maharashtra,BEED - MH23,E2W,ATHER ENERGY LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,20.0,20.0,52.0,32.0,40.0,18.0,56.0,68.0
Maharashtra,BEED - MH23,E2W,BAJAJ AUTO LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,148.0,464.0,186.0,120.0,248.0,196.0,148.0,116.0,218.0,274.0
